id,title,genres,original_language,release_date,length,rating,rating_count,plot
25768,"Steamboat Bill, Jr.","Comedy, Romance",en,1928,70,7.8,16000,The effete son of a cantankerous riverboat captain comes to join his father's crew.The effete son of a cantankerous riverboat captain comes to join his father's crew.The effete son of a cantankerous riverboat captain comes to join his father's crew.
288,High Noon,"Western, Thriller",en,1952,85,8.0,110000,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at ""high noon"" when the gang leader, an outlaw he ""se... Read allA town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at ""high noon"" when the gang leader, an outlaw he ""sent up"" years ago, arrives on the noon train.A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at ""high noon"" when the gang leader, an outlaw he ""sent up"" years ago, arrives on the noon train."
3782,Ikiru,Drama,ja,1952,143,8.3,88000,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
28971,Limelight,"Romance, Drama, Music",en,1952,137,8.0,22000,A fading comedian and a suicidally despondent ballet dancer must look to each other to find purpose and hope in their lives.A fading comedian and a suicidally despondent ballet dancer must look to each other to find purpose and hope in their lives.A fading comedian and a suicidally despondent ballet dancer must look to each other to find purpose and hope in their lives.
3109,The Quiet Man,"Romance, Comedy, Drama",en,1952,129,7.7,42000,"A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union."
872,Singin' in the Rain,"Comedy, Romance",en,1952,103,8.3,261000,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
833,Umberto D.,Drama,it,1952,89,8.2,28000,An elderly man and his dog struggle to survive on his government pension in Rome.An elderly man and his dog struggle to survive on his government pension in Rome.An elderly man and his dog struggle to survive on his government pension in Rome.
14580,The Big Heat,"Crime, Thriller",en,1953,89,7.9,29000,Tough cop Dave Bannion takes on a politically powerful crime syndicate.Tough cop Dave Bannion takes on a politically powerful crime syndicate.Tough cop Dave Bannion takes on a politically powerful crime syndicate.
11426,From Here to Eternity,"War, Romance, Drama",en,1953,118,7.6,51000,"At a U.S. Army base in 1941 Hawaii, a private is cruelly punished for not boxing on his unit's team, while his commanding officer's wife and top aide begin a tentative affair.At a U.S. Army base in 1941 Hawaii, a private is cruelly punished for not boxing on his unit's team, while his commanding officer's wife and top aide begin a tentative affair.At a U.S. Army base in 1941 Hawaii, a private is cruelly punished for not boxing on his unit's team, while his commanding officer's wife and top aide begin a tentative affair."
759,Gentlemen Prefer Blondes,"Comedy, Romance",en,1953,91,7.1,43000,"Showgirls Lorelei Lee and Dorothy Shaw travel to Paris, pursued by a private detective hired by the suspicious father of Lorelei's fiancé, as well as a rich, enamored old man and many other ... Read allShowgirls Lorelei Lee and Dorothy Shaw travel to Paris, pursued by a private detective hired by the suspicious father of Lorelei's fiancé, as well as a rich, enamored old man and many other doting admirers.Showgirls Lorelei Lee and Dorothy Shaw travel to Paris, pursued by a private detective hired by the suspicious father of Lorelei's fiancé, as well as a rich, enamored old man and many other doting admirers."
18573,House of Wax,"Horror, Crime",en,1953,88,7.0,20000,"An associate burns down a wax museum with the owner inside, but he survives only to become vengeful and murderous.An associate burns down a wax museum with the owner inside, but he survives only to become vengeful and murderous.An associate burns down a wax museum with the owner inside, but he survives only to become vengeful and murderous."
10297,How to Marry a Millionaire,"Comedy, Romance",en,1953,95,6.8,25000,"Three women set out to find eligible millionaires to marry, but find true love in the process.Three women set out to find eligible millionaires to marry, but find true love in the process.Three women set out to find eligible millionaires to marry, but find true love in the process."
30159,I Confess,"Drama, Thriller, Crime",en,1953,95,7.2,23000,"A priest, who comes under suspicion for murder, cannot clear his name without breaking the seal of the confessional.A priest, who comes under suspicion for murder, cannot clear his name without breaking the seal of the confessional.A priest, who comes under suspicion for murder, cannot clear his name without breaking the seal of the confessional."
19997,Niagara,"Thriller, Crime",en,1953,92,7.0,20000,"As two couples are visiting Niagara Falls, tensions between one wife and her husband reach the level of murder.As two couples are visiting Niagara Falls, tensions between one wife and her husband reach the level of murder.As two couples are visiting Niagara Falls, tensions between one wife and her husband reach the level of murder."
10693,Peter Pan,"Animation, Family, Adventure, Fantasy",en,1953,77,7.3,153000,"Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan.Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan.Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan."
804,Roman Holiday,"Romance, Comedy, Drama",en,1953,118,8.0,148000,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.
3110,Shane,"Drama, Western",en,1953,118,7.6,44000,"A weary gunfighter in 1880s Wyoming begins to envision a quieter life after befriending a homestead family with a young son who idolizes him, but a smoldering range war forces him to act.A weary gunfighter in 1880s Wyoming begins to envision a quieter life after befriending a homestead family with a young son who idolizes him, but a smoldering range war forces him to act.A weary gunfighter in 1880s Wyoming begins to envision a quieter life after befriending a homestead family with a young son who idolizes him, but a smoldering range war forces him to act."
632,Stalag 17,"Comedy, Drama, War",en,1953,120,8.0,59000,"After two Americans are killed while escaping from a German P.O.W. camp in World War II, the barracks black marketeer, J.J. Sefton, is suspected of being an informer.After two Americans are killed while escaping from a German P.O.W. camp in World War II, the barracks black marketeer, J.J. Sefton, is suspected of being an informer.After two Americans are killed while escaping from a German P.O.W. camp in World War II, the barracks black marketeer, J.J. Sefton, is suspected of being an informer."
8974,The War of the Worlds,"Science Fiction, Action",en,1953,85,7.0,39000,"A small town in California is attacked by Martians, beginning a worldwide invasion.A small town in California is attacked by Martians, beginning a worldwide invasion.A small town in California is attacked by Martians, beginning a worldwide invasion."
173,"20,000 Leagues Under the Sea","Adventure, Science Fiction, Family",en,1954,127,7.2,37000,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo."
10178,The Caine Mutiny,"Drama, War",en,1954,124,7.7,30000,"When a U.S. Naval captain shows signs of mental instability that jeopardises the ship, the first officer is urged to consider relieving him of command.When a U.S. Naval captain shows signs of mental instability that jeopardises the ship, the first officer is urged to consider relieving him of command.When a U.S. Naval captain shows signs of mental instability that jeopardises the ship, the first officer is urged to consider relieving him of command."
10973,Creature from the Black Lagoon,"Adventure, Horror, Science Fiction",en,1954,79,6.9,34000,A strange prehistoric beast lurks in the depths of the Amazonian jungle. A group of scientists try to capture the animal and bring it back to civilization for study.A strange prehistoric beast lurks in the depths of the Amazonian jungle. A group of scientists try to capture the animal and bring it back to civilization for study.A strange prehistoric beast lurks in the depths of the Amazonian jungle. A group of scientists try to capture the animal and bring it back to civilization for study.
521,Dial M for Murder,"Thriller, Crime",en,1954,105,8.2,189000,A former tennis star arranges the murder of his adulterous wife.A former tennis star arranges the murder of his adulterous wife.A former tennis star arranges the murder of his adulterous wife.
228967,The Interview,"Action, Comedy",en,2014,112,6.5,355000,"Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Jong-Un Kim, they are re... Read allDave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Jong-Un Kim, they are recruited by the CIA to assassinate him.Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Jong-Un Kim, they are recruited by the CIA to assassinate him."
294272,Pete's Dragon,"Adventure, Family, Fantasy",en,2016,102,6.7,62000,"The adventures of an orphaned boy named Pete and his best friend Elliott, who happens to be a dragon.The adventures of an orphaned boy named Pete and his best friend Elliott, who happens to be a dragon.The adventures of an orphaned boy named Pete and his best friend Elliott, who happens to be a dragon."
254194,Starry Eyes,"Horror, Drama",en,2014,98,6.0,22000,A hopeful young starlet uncovers the ominous origins of the Hollywood elite and enters into a deadly agreement in exchange for fame and fortune.A hopeful young starlet uncovers the ominous origins of the Hollywood elite and enters into a deadly agreement in exchange for fame and fortune.A hopeful young starlet uncovers the ominous origins of the Hollywood elite and enters into a deadly agreement in exchange for fame and fortune.
300668,Annihilation,"Science Fiction, Horror",en,2018,115,6.8,362000,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply."
282813,The Pyramid,Horror,en,2014,89,4.6,27000,An archaeological team attempts to unlock the secrets of a lost pyramid only to find themselves hunted by an insidious creature.An archaeological team attempts to unlock the secrets of a lost pyramid only to find themselves hunted by an insidious creature.An archaeological team attempts to unlock the secrets of a lost pyramid only to find themselves hunted by an insidious creature.
276839,Home Sweet Hell,"Crime, Comedy, Thriller",en,2015,98,5.5,17000,"Don Champagne seems to have it all, but when his wife, Mona, learns of his affair with a pretty new salesgirl, she will stop at nothing to maintain their storybook life.Don Champagne seems to have it all, but when his wife, Mona, learns of his affair with a pretty new salesgirl, she will stop at nothing to maintain their storybook life.Don Champagne seems to have it all, but when his wife, Mona, learns of his affair with a pretty new salesgirl, she will stop at nothing to maintain their storybook life."
207703,Kingsman: The Secret Service,"Crime, Comedy, Action, Adventure",en,2014,129,7.7,717000,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
316023,Mike and Dave Need Wedding Dates,Comedy,en,2016,98,6.0,95000,"Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an unc... Read allTwo hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo."
1110358,Yannick,"Comedy, Drama",fr,2023,67,7.0,4500,"In the middle of a performance of the play ""Le Cocu"", a very bad boulevard comedy, Yannick gets up and interrupts the show to take the evening back in hand.In the middle of a performance of the play ""Le Cocu"", a very bad boulevard comedy, Yannick gets up and interrupts the show to take the evening back in hand.In the middle of a performance of the play ""Le Cocu"", a very bad boulevard comedy, Yannick gets up and interrupts the show to take the evening back in hand."
184345,A Haunted House 2,"Comedy, Horror",en,2014,86,4.7,23000,"Having exorcised the demons of his ex, Malcolm is starting fresh with his new girlfriend and her two children. After moving into their dream home, however, Malcolm is once again plagued by b... Read allHaving exorcised the demons of his ex, Malcolm is starting fresh with his new girlfriend and her two children. After moving into their dream home, however, Malcolm is once again plagued by bizarre paranormal events.Having exorcised the demons of his ex, Malcolm is starting fresh with his new girlfriend and her two children. After moving into their dream home, however, Malcolm is once again plagued by bizarre paranormal events."
429203,The Old Man & the Gun,"Comedy, Crime, Drama",en,2018,93,6.7,50000,Based on the true story of Forrest Tucker and his audacious escape from San Quentin at the age of 70 to an unprecedented string of heists that confounded authorities and enchanted the public... Read allBased on the true story of Forrest Tucker and his audacious escape from San Quentin at the age of 70 to an unprecedented string of heists that confounded authorities and enchanted the public.Based on the true story of Forrest Tucker and his audacious escape from San Quentin at the age of 70 to an unprecedented string of heists that confounded authorities and enchanted the public.
254470,Pitch Perfect 2,"Comedy, Music",en,2015,115,6.4,171000,"After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and ri... Read allAfter a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform."
529203,The Croods: A New Age,"Animation, Family, Adventure, Fantasy, Comedy",en,2020,95,6.9,53000,"The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved."
455980,Tag,"Comedy, Action",en,2018,100,6.5,147000,"A small group of former classmates organize an elaborate, annual game of tag that requires some to travel all over the country.A small group of former classmates organize an elaborate, annual game of tag that requires some to travel all over the country.A small group of former classmates organize an elaborate, annual game of tag that requires some to travel all over the country."
234004,Ratchet & Clank,"Action, Adventure, Animation, Family",en,2016,94,5.5,12000,"When the galaxy comes under the threat of a nefarious space captain, a mechanic and his newfound robot ally join an elite squad of combatants to save the universe.When the galaxy comes under the threat of a nefarious space captain, a mechanic and his newfound robot ally join an elite squad of combatants to save the universe.When the galaxy comes under the threat of a nefarious space captain, a mechanic and his newfound robot ally join an elite squad of combatants to save the universe."
220289,Coherence,"Thriller, Science Fiction",en,2013,89,7.2,146000,Strange things begin to happen when a group of friends gather for a dinner party on an evening when a comet is passing overhead.Strange things begin to happen when a group of friends gather for a dinner party on an evening when a comet is passing overhead.Strange things begin to happen when a group of friends gather for a dinner party on an evening when a comet is passing overhead.
323675,Ride Along 2,"Action, Comedy",en,2016,102,5.9,63000,"As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product.As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product.As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product."
256274,"As Above, So Below","Horror, Thriller",en,2014,93,6.2,112000,"When a team of explorers venture into the catacombs that lie beneath the streets of Paris, they uncover the dark secret that lies within this city of the dead.When a team of explorers venture into the catacombs that lie beneath the streets of Paris, they uncover the dark secret that lies within this city of the dead.When a team of explorers venture into the catacombs that lie beneath the streets of Paris, they uncover the dark secret that lies within this city of the dead."
231576,Wish I Was Here,"Drama, Comedy",en,2014,106,6.6,39000,"A struggling actor, father and husband finds himself at a major crossroads, which forces him to examine his life, his family and his career.A struggling actor, father and husband finds himself at a major crossroads, which forces him to examine his life, his family and his career.A struggling actor, father and husband finds himself at a major crossroads, which forces him to examine his life, his family and his career."
229297,Magic in the Moonlight,"Comedy, Drama, Romance",en,2014,97,6.5,71000,A romantic comedy about an Englishman brought in to help unmask a possible swindle. Personal and professional complications ensue.A romantic comedy about an Englishman brought in to help unmask a possible swindle. Personal and professional complications ensue.A romantic comedy about an Englishman brought in to help unmask a possible swindle. Personal and professional complications ensue.
309245,Mistress America,Comedy,en,2015,84,6.7,29000,"A lonely college freshman's life is turned upside-down by her impetuous, adventurous stepsister-to-be.A lonely college freshman's life is turned upside-down by her impetuous, adventurous stepsister-to-be.A lonely college freshman's life is turned upside-down by her impetuous, adventurous stepsister-to-be."
345938,The Shack,"Drama, Fantasy",en,2017,132,6.3,39000,"A grieving man receives a mysterious, personal invitation to meet with God at a place called ""The Shack.""A grieving man receives a mysterious, personal invitation to meet with God at a place called ""The Shack.""A grieving man receives a mysterious, personal invitation to meet with God at a place called ""The Shack."""
242582,Nightcrawler,"Crime, Drama, Thriller",en,2014,117,7.8,605000,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
240832,Lucy,"Action, Science Fiction",fr,2014,89,6.4,535000,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic."
263109,Shaun the Sheep Movie,"Family, Animation, Comedy, Adventure",en,2015,85,7.3,43000,"When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the B... Read allWhen Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of... Read allWhen Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of home."
401981,Red Sparrow,"Thriller, Mystery",en,2018,140,6.6,202000,"Ballerina Dominika Egorova is recruited to 'Sparrow School,' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission, targeting a C.I.A. agent, thre... Read allBallerina Dominika Egorova is recruited to 'Sparrow School,' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission, targeting a C.I.A. agent, threatens to unravel the security of both nations.Ballerina Dominika Egorova is recruited to 'Sparrow School,' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission, targeting a C.I.A. agent, threatens to unravel the security of both nations."
253331,Black or White,Drama,en,2014,121,6.6,14000,"A grieving widower is drawn into a custody battle over his granddaughter, whom he helped raise her entire life.A grieving widower is drawn into a custody battle over his granddaughter, whom he helped raise her entire life.A grieving widower is drawn into a custody battle over his granddaughter, whom he helped raise her entire life."
212778,Chef,Comedy,en,2014,114,7.3,232000,"A head chef quits his restaurant job and buys a food truck in an effort to reclaim his creative promise, while piecing back together his estranged family.A head chef quits his restaurant job and buys a food truck in an effort to reclaim his creative promise, while piecing back together his estranged family.A head chef quits his restaurant job and buys a food truck in an effort to reclaim his creative promise, while piecing back together his estranged family."
225728,Macbeth,"Drama, War",en,2015,113,6.6,60000,"Macbeth, the Thane of Glamis, receives a prophecy from a trio of witches that one day he will become King of Scotland. Consumed by ambition and spurred to action by his wife, Macbeth murders... Read allMacbeth, the Thane of Glamis, receives a prophecy from a trio of witches that one day he will become King of Scotland. Consumed by ambition and spurred to action by his wife, Macbeth murders his king and takes the throne for himself.Macbeth, the Thane of Glamis, receives a prophecy from a trio of witches that one day he will become King of Scotland. Consumed by ambition and spurred to action by his wife, Macbeth murders his king and takes the throne for himself."
244267,I Origins,"Science Fiction, Drama",en,2014,106,7.3,134000,A molecular biologist and his laboratory partner uncover evidence that may fundamentally change society as we know it.A molecular biologist and his laboratory partner uncover evidence that may fundamentally change society as we know it.A molecular biologist and his laboratory partner uncover evidence that may fundamentally change society as we know it.
231001,All Hallows' Eve,Horror,en,2013,83,5.2,12000,A babysitter finds a VHS tape which features various sinister murders performed by a psychotic clown.A babysitter finds a VHS tape which features various sinister murders performed by a psychotic clown.A babysitter finds a VHS tape which features various sinister murders performed by a psychotic clown.
493529,Dungeons & Dragons: Honor Among Thieves,"Adventure, Fantasy, Comedy",en,2023,134,7.2,226000,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people."
262500,Insurgent,"Action, Adventure, Science Fiction, Thriller",en,2015,119,6.2,255000,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.
248774,Obvious Child,"Comedy, Romance",en,2014,84,6.7,26000,A twenty-something comedienne's unplanned pregnancy forces her to confront the realities of independent womanhood for the first time.A twenty-something comedienne's unplanned pregnancy forces her to confront the realities of independent womanhood for the first time.A twenty-something comedienne's unplanned pregnancy forces her to confront the realities of independent womanhood for the first time.
242095,The Signal,"Thriller, Science Fiction",en,2014,97,6.0,69000,"On a road trip, Nic and two friends are drawn to an isolated area by a computer genius. When everything suddenly goes dark, Nic regains consciousness - only to find himself in a waking night... Read allOn a road trip, Nic and two friends are drawn to an isolated area by a computer genius. When everything suddenly goes dark, Nic regains consciousness - only to find himself in a waking nightmare.On a road trip, Nic and two friends are drawn to an isolated area by a computer genius. When everything suddenly goes dark, Nic regains consciousness - only to find himself in a waking nightmare."
298382,The Dressmaker,"Drama, Comedy, Western",en,2015,119,7.0,66000,"A glamorous woman returns to her small town in rural Australia. With her sewing machine and haute couture style, she transforms the women and exacts sweet revenge on those who did her wrong.A glamorous woman returns to her small town in rural Australia. With her sewing machine and haute couture style, she transforms the women and exacts sweet revenge on those who did her wrong.A glamorous woman returns to her small town in rural Australia. With her sewing machine and haute couture style, she transforms the women and exacts sweet revenge on those who did her wrong."
245891,John Wick,"Action, Thriller",en,2014,101,7.4,740000,An ex-hitman comes out of retirement to track down the gangsters who killed his dog and stole his car.An ex-hitman comes out of retirement to track down the gangsters who killed his dog and stole his car.An ex-hitman comes out of retirement to track down the gangsters who killed his dog and stole his car.
284289,Beyond the Reach,Thriller,en,2014,91,5.6,11000,"In the Mojave Desert, a naked and unarmed hunting guide runs from a wealthy hunter who wants to ensure his silence in the death of an old man.In the Mojave Desert, a naked and unarmed hunting guide runs from a wealthy hunter who wants to ensure his silence in the death of an old man.In the Mojave Desert, a naked and unarmed hunting guide runs from a wealthy hunter who wants to ensure his silence in the death of an old man."
228968,Kidnapping Mr. Heineken,"Drama, Action, Crime, Thriller, Mystery",en,2015,95,6.1,22000,"The inside story of the planning, execution, rousing aftermath, and ultimate downfall of the kidnappers of beer tycoon Alfred ""Freddy"" Heineken in 1983, which resulted in the largest ransom ... Read allThe inside story of the planning, execution, rousing aftermath, and ultimate downfall of the kidnappers of beer tycoon Alfred ""Freddy"" Heineken in 1983, which resulted in the largest ransom ever paid for an individual.The inside story of the planning, execution, rousing aftermath, and ultimate downfall of the kidnappers of beer tycoon Alfred ""Freddy"" Heineken in 1983, which resulted in the largest ransom ever paid for an individual."
243940,The Lazarus Effect,"Horror, Thriller, Mystery, Science Fiction",en,2015,83,5.2,46000,A group of medical researchers discover a way to bring dead patients back to life.A group of medical researchers discover a way to bring dead patients back to life.A group of medical researchers discover a way to bring dead patients back to life.
